task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
176	8c/de256b	3076466	ecg_file_finder	EV_008_xdf4_extr.parquet	ecg_file_finder (EV_008_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:13.599	2026-02-04 11:40:13.900	2026-02-04 11:40:18.111	4.5s	2.7s	-	9.8%	0.2%	62.6 MB	3 GB	62.6 MB	3.1 GB	18.9 MB	12.3 MB	910	32	0	12.3 MB	65	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/8c/de256b1537bb826c6770aa208828f8	-
174	88/1b6959	3076619	trigger_file_finder	EV_008_xdf4_extr.parquet	trigger_file_finder (EV_008_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:13.947	2026-02-04 11:40:14.101	2026-02-04 11:40:18.633	4.7s	3s	-	8.1%	0.2%	63.1 MB	3.1 GB	63.1 MB	3.1 GB	12.7 MB	6.2 MB	910	36	0	6.2 MB	1166	2	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/88/1b695980e5253869ec76ccd676eb05	-
168	eb/b51375	3075546	peak_detection_processor	EV_003_xdf5_extr2_filt.parquet	peak_detection_processor (EV_003_xdf5_extr2_filt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:08.183	2026-02-04 11:40:09.038	2026-02-04 11:40:20.188	12s	6.1s	-	75.8%	1.8%	555.4 MB	5.1 GB	636.9 MB	5.2 GB	45.7 MB	26 KB	4923	45	81.3 MB	36 KB	1717	23	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/eb/b51375113d9aa6273320f99133a5d0	-
173	0a/e8c22e	3076883	eda_file_finder	EV_008_xdf4_extr.parquet	eda_file_finder (EV_008_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:14.174	2026-02-04 11:40:14.677	2026-02-04 11:40:21.325	7.2s	3s	-	8.5%	0.2%	63 MB	3.1 GB	63 MB	3.1 GB	15.3 MB	8.7 MB	910	33	0	8.7 MB	2187	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/0a/e8c22efce76d11cde0c43a96c54b13	-
183	6b/ffc8a3	3077051	trigger_file_finder	EV_002_xdf4_extr.parquet	trigger_file_finder (EV_002_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:14.781	2026-02-04 11:40:15.538	2026-02-04 11:40:23.866	9.1s	3.9s	-	5.4%	0.2%	62.8 MB	3.1 GB	62.8 MB	3.1 GB	12.5 MB	5.9 MB	911	32	0	5.9 MB	1342	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/6b/ffc8a308cb332c2b904f16f68809e8	-
180	41/1576a2	3078520	trigger_file_finder	EV_007_xdf4_extr.parquet	trigger_file_finder (EV_007_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:18.875	2026-02-04 11:40:19.635	2026-02-04 11:40:31.811	12.9s	5.4s	-	4.0%	0.2%	62.4 MB	3.1 GB	62.4 MB	3.1 GB	12.5 MB	5.9 MB	910	35	0	5.9 MB	141	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/41/1576a232bd517ae3e8131b48db748b	-
178	16/0115d6	3078819	ecg_file_finder	EV_007_xdf4_extr.parquet	ecg_file_finder (EV_007_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:19.745	2026-02-04 11:40:20.889	2026-02-04 11:40:31.769	12s	4.6s	-	4.8%	0.2%	62.5 MB	3 GB	62.5 MB	3 GB	16.7 MB	10.1 MB	911	32	0	10.1 MB	2471	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/16/0115d6f07b7ac5c8e35dc77a92a24e	-
177	08/129f88	3079575	eda_file_finder	EV_007_xdf4_extr.parquet	eda_file_finder (EV_007_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:23.421	2026-02-04 11:40:24.267	2026-02-04 11:40:35.203	11.8s	7s	-	3.5%	0.2%	62 MB	3 GB	62 MB	3 GB	15 MB	8.4 MB	911	39	0	8.4 MB	3835	6	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/08/129f8802c2b11ae43c64b48865222c	-
182	84/49be2e	3080108	eda_file_finder	EV_002_xdf4_extr.parquet	eda_file_finder (EV_002_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:24.959	2026-02-04 11:40:25.671	2026-02-04 11:40:40.639	15.7s	8.2s	-	3.2%	0.2%	62.5 MB	3.1 GB	62.5 MB	3.1 GB	15.9 MB	9.3 MB	911	35	0	9.3 MB	124	2	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/84/49be2e1f3174bd748dfe65d0b03005	-
172	6a/d7aa04	3076249	eeg_file_finder	EV_004_xdf4_extr.parquet	eeg_file_finder (EV_004_xdf4_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:40:13.046	2026-02-04 11:40:13.336	2026-02-04 11:40:42.088	29s	27.1s	-	12.6%	0.2%	62.8 MB	3 GB	62.8 MB	3 GB	1 GB	1 GB	909	34	0	1 GB	266560	36	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/6a/d7aa046b79d2f6574026521cf2bc9c	-
